"energy","danceability","tempo","valence","views","likes","stream"
"0.631","0.754","94.577","0.432","224971063","1192658","170592836"
"0.574","0.74","149.762","0.33","681129","6477","128273029"
"0.576","0.73","92.131","0.155","7101653","51843","114490460"
"0.62","0.715","97.95","0.172","17011354","325993","279832635"
"0.52","0.561","153.15","0.424","3926832","54749","311694937"
"0.673","0.529","165.921","0.366","12454143","461647","413205085"
"0.658","0.671","87.933","0.257","5384334","96598","81603704"
"0.63","0.749","122.03","0.445","24885008","487517","119787835"
"0.733","0.847","130.029","0.202","24885008","487517","182739405"
"0.358","0.841","158.014","0.329","213119","3427","100595022"
"0.546","0.908","131.016","0.225","7706203","102385","107919519"
"0.701","0.773","129.963","0.203","1111996","8576","87618118"
"0.424","0.849","145.887","0.153","74244853","796542","501420741"
"0.665","0.367","148.913","0.31","105206228","1105989","578115634"
"0.647","0.79","87.999","0.654","200458945","1310078","720756420"
"0.628","0.639","90.482","0.43","123256878","959510","543286408"
"0.858","0.789","140.022","0.775","374189685","2521768","1054470731"
"0.573","0.724","113.088","0.438","47207589","587832","627167330"
"0.717","0.617","103.992","0.49","432609094","2878369","1123296395"
"0.466","0.542","191.385","0.124","13652003","161439","302891517"
"0.419","0.669","109.813","0.0397","343239","10149","335460654"
"0.747","0.667","86.917","0.918","101552405","540229","379099876"
"0.696","0.629","93.034","0.623","323806093","1797312","853381478"
"0.877","0.78","133.263","0.909","562212517","2366696","473691093"
"0.727","0.374","155.127","0.283","157325196","604843","392257514"
"0.593","0.641","119.828","0.437","1006758","13068","303652374"
"0.683","0.631","97.959","0.708","130543675","344687","229810217"
"0.367","0.54","70.276","0.252","375491","4708","268107480"
"0.499","0.401","144.276","0.262","117161559","372824","235730264"
"0.665","0.542","147.977","0.417","47486131","183468","189533009"
"0.443","0.389","76.54","0.0888","140665690","411448","172275945"
"0.71","0.389","160.397","0.666","207911622","556658","106123325"
"0.579","0.663","89.929","0.48","9656892","62146","127896578"
"0.689","0.78","115.042","0.642","8893257","135456","354986175"
"0.77","0.646","99.165","0.681","669084413","3218858","836260550"
"0.641","0.545","121.892","0.464","15896207","226588","116409094"
"0.887","0.693","114.942","0.864","1230431","15962","276384322"
"0.72","0.508","79.983","0.472","1357273902","6931695","1257746758"
"0.749","0.652","94.103","0.651","514532529","2260106","524847088"
"0.519","0.903","114.991","0.587","5840552","72908","71933137"
"0.299","0.587","94.992","0.356","231580933","1998224","739180747"
"0.621","0.583","140.036","0.399","687031207","2906283","520085958"
"0.899","0.732","127.091","0.759","554929045","2987341","480726300"
"0.681","0.872","96.986","0.481","9058435","227824","42618413"
"0.868","0.744","93.037","0.586","10845","118","664205050"
"0.797","0.852","96.008","0.741","23852149","380311","536817412"
"0.855","0.812","90.04","0.573","87084154","884924","295869713"
"0.741","0.819","97.014","0.84","1559861","20775","315104207"
